ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topic
40,Combination Sum II,52%,Medium,2,https://leetcode.com/problems/combination-sum-ii/,Backtracking
41,First Missing Positive,36%,Hard,3,https://leetcode.com/problems/first-missing-positive/,Array
42,Trapping Rain Water,58%,Hard,5,https://leetcode.com/problems/trapping-rain-water/,Array
43,Multiply Strings,38%,Medium,2,https://leetcode.com/problems/multiply-strings/,Math
44,Wildcard Matching,26%,Hard,2,https://leetcode.com/problems/wildcard-matching/,Dynamic Programming
45,Jump Game II,38%,Medium,3,https://leetcode.com/problems/jump-game-ii/,Greedy
46,Permutations,72%,Medium,3,https://leetcode.com/problems/permutations/,Backtracking
47,Permutations II,55%,Medium,2,https://leetcode.com/problems/permutations-ii/,Backtracking
48,Rotate Image,67%,Medium,3,https://leetcode.com/problems/rotate-image/,Array
49,Group Anagrams,65%,Medium,4,https://leetcode.com/problems/group-anagrams/,Hash Table
50,Pow(x, n),32%,Medium,2,https://leetcode.com/problems/powx-n/,Math
51,N-Queens,58%,Hard,3,https://leetcode.com/problems/n-queens/,Backtracking
52,N-Queens II,70%,Hard,2,https://leetcode.com/problems/n-queens-ii/,Backtracking
53,Maximum Subarray,50%,Medium,3,https://leetcode.com/problems/maximum-subarray/,Dynamic Programming
54,Spiral Matrix,43%,Medium,3,https://leetcode.com/problems/spiral-matrix/,Array
55,Jump Game,38%,Medium,3,https://leetcode.com/problems/jump-game/,Greedy
56,Merge Intervals,45%,Medium,5,https://leetcode.com/problems/merge-intervals/,Array
57,Insert Interval,38%,Medium,3,https://leetcode.com/problems/insert-interval/,Array
58,Length of Last Word,41%,Easy,1,https://leetcode.com/problems/length-of-last-word/,String
59,Spiral Matrix II,65%,Medium,2,https://leetcode.com/problems/spiral-matrix-ii/,Array
60,Permutation Sequence,43%,Hard,2,https://leetcode.com/problems/permutation-sequence/,Math
61,Rotate List,35%,Medium,2,https://leetcode.com/problems/rotate-list/,Linked List
62,Unique Paths,62%,Medium,3,https://leetcode.com/problems/unique-paths/,Dynamic Programming
63,Unique Paths II,39%,Medium,2,https://leetcode.com/problems/unique-paths-ii/,Dynamic Programming
64,Minimum Path Sum,60%,Medium,3,https://leetcode.com/problems/minimum-path-sum/,Dynamic Programming
65,Valid Number,18%,Hard,1,https://leetcode.com/problems/valid-number/,Math
66,Plus One,43%,Easy,2,https://leetcode.com/problems/plus-one/,Array
67,Add Binary,50%,Easy,2,https://leetcode.com/problems/add-binary/,Math
68,Text Justification,35%,Hard,2,https://leetcode.com/problems/text-justification/,String
69,Sqrt(x),36%,Easy,2,https://leetcode.com/problems/sqrtx/,Math
70,Climbing Stairs,50%,Easy,3,https://leetcode.com/problems/climbing-stairs/,Dynamic Programming
71,Simplify Path,39%,Medium,2,https://leetcode.com/problems/simplify-path/,Stack
72,Edit Distance,52%,Hard,4,https://leetcode.com/problems/edit-distance/,Dynamic Programming
73,Set Matrix Zeroes,50%,Medium,3,https://leetcode.com/problems/set-matrix-zeroes/,Array
74,Search a 2D Matrix,45%,Medium,2,https://leetcode.com/problems/search-a-2d-matrix/,Binary Search
75,Sort Colors,55%,Medium,3,https://leetcode.com/problems/sort-colors/,Array
76,Minimum Window Substring,40%,Hard,4,https://leetcode.com/problems/minimum-window-substring/,String
77,Combinations,65%,Medium,2,https://leetcode.com/problems/combinations/,Backtracking
78,Subsets,72%,Medium,4,https://leetcode.com/problems/subsets/,Backtracking
79,Word Search,40%,Medium,4,https://leetcode.com/problems/word-search/,Backtracking
80,Remove Duplicates from Sorted Array II,52%,Medium,2,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,Array
81,Search in Rotated Sorted Array II,35%,Medium,2,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,Binary Search
82,Remove Duplicates from Sorted List II,45%,Medium,2,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,Linked List
83,Remove Duplicates from Sorted List,50%,Easy,2,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,Linked List
84,Largest Rectangle in Histogram,42%,Hard,3,https://leetcode.com/problems/largest-rectangle-in-histogram/,Stack
85,Maximal Rectangle,44%,Hard,3,https://leetcode.com/problems/maximal-rectangle/,Dynamic Programming
86,Partition List,50%,Medium,2,https://leetcode.com/problems/partition-list/,Linked List
87,Scramble String,35%,Hard,2,https://leetcode.com/problems/scramble-string/,Dynamic Programming
88,Merge Sorted Array,45%,Easy,2,https://leetcode.com/problems/merge-sorted-array/,Array
89,Gray Code,55%,Medium,1,https://leetcode.com/problems/gray-code/,Backtracking
90,Subsets II,55%,Medium,2,https://leetcode.com/problems/subsets-ii/,Backtracking
91,Decode Ways,32%,Medium,3,https://leetcode.com/problems/decode-ways/,Dynamic Programming
92,Reverse Linked List II,45%,Medium,3,https://leetcode.com/problems/reverse-linked-list-ii/,Linked List
93,Restore IP Addresses,42%,Medium,2,https://leetcode.com/problems/restore-ip-addresses/,String
94,Binary Tree Inorder Traversal,72%,Easy,3,https://leetcode.com/problems/binary-tree-inorder-traversal/,Tree
95,Unique Binary Search Trees II,52%,Medium,2,https://leetcode.com/problems/unique-binary-search-trees-ii/,Dynamic Programming
96,Unique Binary Search Trees,58%,Medium,3,https://leetcode.com/problems/unique-binary-search-trees/,Dynamic Programming
97,Interleaving String,35%,Medium,3,https://leetcode.com/problems/interleaving-string/,Dynamic Programming
98,Validate Binary Search Tree,30%,Medium,3,https://leetcode.com/problems/validate-binary-search-tree/,Tree
99,Recover Binary Search Tree,46%,Medium,2,https://leetcode.com/problems/recover-binary-search-tree/,Tree
100,Same Tree,55%,Easy,2,https://leetcode.com/problems/same-tree/,Tree
